2026-07-15 00:01:52.739 | INFO     | main.lifespan:25 | Starting application
2026-07-15 00:01:52.790 | INFO     | database.init_database:85 | Database tables initialized successfully
2026-07-15 00:01:52.792 | INFO     | main.lifespan:28 | Application startup completed
2026-07-15 00:03:19.153 | INFO     | event_processor.process_event:32 | Creating new session for 11e311a8-12f2-4314-bf31-48066204b915
2026-07-15 00:03:19.166 | INFO     | session_repository.create_session:68 | Created new session: 11e311a8-12f2-4314-bf31-48066204b915
2026-07-15 00:03:19.179 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:03:35.896 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:04:07.897 | INFO     | event_processor.process_event:49 | Processed event app_opened
2026-07-15 00:04:08.214 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:06:03.947 | INFO     | main.lifespan:35 | Shutting down application
2026-07-15 00:06:07.398 | INFO     | main.lifespan:25 | Starting application
2026-07-15 00:06:07.404 | INFO     | database.init_database:85 | Database tables initialized successfully
2026-07-15 00:06:07.405 | INFO     | main.lifespan:28 | Application startup completed
2026-07-15 00:06:31.433 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:08:29.228 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:08:34.359 | INFO     | event_processor.process_event:49 | Processed event app_opened
2026-07-15 00:08:35.836 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:11:04.105 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:11:06.259 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:11:07.691 | INFO     | event_processor.process_event:49 | Processed event link_clicked
2026-07-15 00:13:45.533 | INFO     | event_processor.process_event:49 | Processed event app_opened
2026-07-15 00:13:47.664 | INFO     | event_processor.process_event:49 | Processed event app_opened
2026-07-15 00:20:38.280 | INFO     | main.lifespan:35 | Shutting down application
